name,gnd,gender,biography,bibliography
Nigg Marianne,11701866X,female,"*Nigg, Frl. Marianne, Korneuburg, geboren am 5. Iuni 1843 in Iedlersdorf, Niederösterreich, als Tochter eines Beamten. Sie besuchte die Dorfschule, später eine staatliche Mädchenschule in Wien. Aus eigenem Antrieb machte sie autodidaktisch die Gymnasialstudien ihres ein Iahr jüngeren Bruders mit. Ausserdem lernte sie französisch, englisch und italienisch. Sie absolvierte die Lehrerinnenbildungsanstalt zu St. Ursula in Wien, nahm Musik-, Gesangund Deklamationsunterricht und wirkte später als Professorin der italienischen Sprache drei Iahre hindurch, bis 1866 die erste Mädchenschule in Osterreich, welche mit Lehrerinnen besetzt wurde, in Korneuburg eröffnet wurde, wo sie jetzt noch wirkt und die Freude hat, Kinder ihrer früheren Schülerinnen zu unterrichten. M. N. hat auch für den Gemeinsinn ihrer Kolleginnen und das Ansehen derselben im Reiche viel gewirkt. 1877 hat sie, durch ein Reisestipendium des nieder österreichischen Landes-Ausschusses unterstützt, die Schulen Deutschlands und der Schweiz besichtigt und einen Bericht hierüber herausgegeben, sowie ihre Reiseerinnerungen in der »Ersten Österreichischen Zeitschrift für Lehrerinnen«, deren langjährige Mitarbeiterin sie war, veröffentlicht. Sie war auch Mitbegründerin und Schriftleiterin der Zeitschrift »Lehrerinnenwart«, der »Neuzeit« und der »Frauen-Werke« und Präsidentin des österreichischen Vereins zur Gründung und Erhaltung von Erholungsund Feierabendhäusern für die Lehrerinnen Cisleithaniens. Es sei hier besonders hervorgehoben, dass M. N. die Herausgeberin der »Biographieen der österreichischen Dichterinnen und Schriftstellerinnen« ist; bisher das einzige derartige Werk in Österreich.","‒ Biographieen der österreichischen Dichterinnen n. Schriftstellerinnen. Ein Beitrag zur deutschen Litteratur in Österreich. 8. (61) Korneuburg 1893, I. Kühkopf. 2.–; geb. 2.60 ‒ Blütenlese ans den in Chicago prämiierten Dichterinnen u. Schriftstellerinnen. 12. (80) Korneuburg 1898, Verlag der Verfasserin. 1.60 ‒ Erstes Organ der Lehrerinnen der Handarbeit an den österreichischen Schulen. Geleitet u. herausg. v. M. N. 1. Iahrg. 1897. 12 Nrn. 4. (No. 1. 6 m. Abbildgn.) Korneuburg 1897, M. Nigg. n 1.50 ‒ Iubiläumsalmanach. Gedichte. Korneuburg 1888. ‒ Leopold Chimani 1774–1844. 8. (30 m. 1 Bildnis.) Korneuburg 1895, Selbstverlag. –.50 ‒ Frauen-Werke, Österreichische Zeitschrift zur Förderg. u. Vertretg. der Frauenbestrebgn. Geleitet u. hrsg. v. M. N. 4. Iahrg. 1897. 12 Nrn. 4. (No. 2. 8) Korneuburg 1897, M. Nigg. n 4.– ‒ Österreichs Handarbeit. 12. (45) Korneuburg 1895, Selbstverlag. n –.50"
Nitschke Anna,11702340X,female,"*Nitschke, Frl. Anna, Ohlau, Preussisch-Schlesien, Friedrichsplatz, am 31. Ianuar 1858 ebenda geboren. Als Tochter eines sehr gebildeten Kaufmanns, ist sie in einfachen Verhältnissen aufgewachsen und besuchte die Volksschule mit Abschluss der Selecta. Ein schweres Ohrenleiden hinderte sie, den beabsichtigten Lehrerinnenberuf zu erwählen. Sie gab sich jedoch ernsten Studien hin und beschäftigte sich mit besonderer Vorliebe mit Darwin, Nietzsche, mit sozialen und religiösen Fragen der Gegenwart, verstieg sich sogar auf das Gebiet der Theosophie. Dabei hatte sie den Alltagsforderungen nachzukommen und die häuslichen Obliegenheiten auf das strengste zu erfüllen. So führte sie als sechzehnjährige später ihrem Bruder, Lehrer in Chudowa, den Haushalt und gegenwärtig steht sie ihrer Schwester, Kindergärtnerin, zur Seite. Ihr hauptsächlichstes Feld schriftstellerischer Arbeit ist das der Poesie, und die erste Sammlung, die sie, vielseitigen Aufforderungen nachgebend, herausgegeben, »Freudvoll und leidvoll,« hat ihr grosse Anerkennung von Kritikern von Fach und innerem Beruf, wie Heinrich Hart, Oskar Linke, Paul Barsch und anderen eingebracht. Aber auch nach anderer Richtung hat sie sich schriftstellerisch bethätigt. Sie schrieb und schreibt Novellen und Skizzen, und ohne eine Vorkämpferin der Frauensache zu sein, arbeitet sie im Dienste der Freiheit für jegliche Geistesrichtung und tritt in einfach geschriebenen, gemütstiefen Aufsätzen in den verschiedenen Frauenblättern für die freie Entwickelung des Fortschritts im Frauenberuf ein.","‒ Die Weihnachtsfeier im Kindergarten, in Gesang u. Deklamation nebst Ansprache der Lehrerin. Vorwort u. Melodieen v. Frdr. Seidel. 8. (58) Wien 1890, Pioniers Witwe & Sohn. n 1.– ‒ Freudvoll u. leidvoll. Lieder. 8. (80) Berlin 1884, A. Senff. 2.–; geb. m. Goldsohn. 3.– ‒ Zur Pflege des Familiensinnes. Vortrag, geh. im Breslauer Handwerker-Verein. 8. (32) Guhrau 1894, M. Lemke. n –.40"
Nitschke Anna,11702340X,female,"*Nitschke, Frl. Anna, Escuela de la Colonia Almana, Calle de la Cansa No. 7, Mexiko. A. N. ist mit ihrer Schwester Martha, welche einem Rufe des deutschen Gesandten in Mexiko, die Leitung einer deutschen Schule zu übernehmen, Folge leistete, dorthin gereist, um einige Zeit dort zu verweilen, Land und Leute zu studieren. A. N. hat zu den treuesten Mitarbeiterinnen der Breslauer Dichterschule viele Iahre gezählt. Ergänzg. zu Anna Nitschke. Band II.",.
La Mara ,11705822X,female,"La Mara, Biographie s. Maria Lipsius.","‒ Briefe hervorragender Zeitgenossen an Franz Liszt. Nach den Handschriften des Weimarer Liszt-Museums m. Unterstützg. v. Gille, hrsg. v. L. M. 2 Bde. 8. (367 u. 378) Leipzig 1895, Breitkopf & Härtel. 12.–; geb. 14.– ‒ Classisches und Romantisches aus der Tonwelt. 8. (361) Ebda. 1892. n 4.50; geb. n 5.50 ‒ Das Bühnenfestspiel in Bayreuth. 8. (47) Leipzig 1877, Schmidt & Günther. n 1.– ‒ Der Ring der Nibelungen. Erstes Bühnenfestsp. in Bayreuth. 8. (47) Ebda. 1878. n –.80 ‒ Gedanken berühmter Musiker über ihre Kunst. (Titelausg. von: »Musikalische Gedanken-Polyphonie«.) 8. (290) Ebda. 1877. n 2.25; geb. n 3.– ‒ Im Hochgebirge. Skizzen aus Oberbayern u. Tyrol. 8. (311) Ebda. 1876. n 4.– ‒ Dasselbe. 2. Ausg. (311) 1878. n 2.40"
La Mara ,11705822X,female,"La Mara. Franz Liszts Briefe. Gesammelt u. hrsg. v. L. M. 2. Aufl. 2 Bde. 8. (399 u. 421) (1893) 1896, Leipzig, Breitkopf & Härtel. 12.–; geb. 14.– 1. Romantiker. 7. Aufl. (447) 1894. 3.50; geb. 4.50 2. Ausländische Meister. 6. Aufl. (348) 1896. 3.50; geb. 4.50 3. Iüngstvergangenheit u. Gegenwart. 6. Aufl. (338) 1890. 3.50; geb. 4.50 4. Klassiker. 3 Aufl. (491) 1888 4.–; geb. 5.– 5. Die Frauen im Tonleben der Gegenwart. 2. Aufl. (393) 1886. 4.–; geb. 5.–","‒ Franz Liszts Briefe. 3. Bd. (Auch u. d. Titel: »Franz Liszts Briefe an eine Freundin«.) 8. (223) Ebda. 1894. n 4.–; geb. 5.– ‒ Franz Liszt, Fr. Chopin. Frei ins Deutsche übertr. v. L. M. 2. Aufl. 8. (215) Ebda. 1896. 6.–; geb. 7.50 ‒ Ludwig van Beethoven. Biographische Skizze. 2. Aufl. 8. (107) Leipzig 1873, Schmidt & Günther. 1.–; geb. 1.50 ‒ Musikalische Gedanken-Polyphonie. Aussprüche berühmter Tonsetzer üb. ihre Kunst. 8. (290) Leipzig 1873, Leuckart. n 4.50 ‒ Musikalische Studienköpfe. 1. – 3. Bd. 8. (Mit Portraits.) Leipzig, Schmidt & Günther. ‒ Dasselbe. 4. u. 5. Bd. 8. (Mit Portraits. Leipzig, Breitkopf & Härtel. ‒ Musikerbriefe aus fünf Iahrhunderten. Nach den Urhandschriften erstmalig hrsg. 2 Bde. 8. (746) Leipzig 1886, Breitkopf & Härtel. n 7.–; geb. n 9.– ‒ Pauline Viardot-Garcia. 8. (20) Ebda. 1882. –.75 ‒ Sommerglück. 8. (192) Ebda. 1882 n 2.60; geb. n 3.60 ‒ Verzeichnis der Kompositionen etc. v. C. M. v. Weber, F. Schubert, F. Mendelssohn, R. Schumann, F. Chopin, F. Liszt u. R. Wagner. 8. (86) Leipzig 1879, Schmidt & Günther. n 1.50"
Lipsius Maria,11705822X,female,"*Lipsius, Frl. Maria, Ps. La Mara, Leipzig, Lessingstrasse 4, einer alten Gelehrtenfamilie entstammend, ist sie am 30. Dezember 1837 in Leipzig geboren, wo sie noch heute lebt. Ihr Vater, ein hochangesehener Gelehrter und Pädagog daselbst, war Rektor der Thomasschule, des durch Bachs Kantorat weltbekannten Gymnasiums. Er übernahm nach dem frühen Tod der Mutter fast ausschliesslich ihre Erziehung, die er mit Liebe und Sorgfalt leitete. Neigung und Begabung zur Musik traten sehr früh hervor und wurden durch gute Lehrer gefördert. Entscheidend wurde für sie in erster Iugend die Einführung bei Liszt in Weimar. Aus ihr erwuchs ihr eine Freundschaft, die ihr Leben in seine eigensten Bahnen wies und es beflügelte. Auf Liszts Anregung nahm sie die Feder in die Hand, der sie lebenslang treu blieb. Werke s. La Mara.",.
Littrow-Bischoff Auguste,11706579X,female,"Littrow-Bischoff, Auguste, Ps. Otto August, geboren 1819, gestorben 1890 in Wien.","‒ Aus dem persönlichen Verkehr m. Frz. Grillparzer. 8. (220) Wien 1873, Rosner. n 3.– ‒ Der Kampf ums Recht. ‒ Iugenderinnerung von Iohann von Bischoff, Mittheilgn. für Kind u. Kindeskinder. Wien. ‒ Schilderungen der Belagerung und Besetzung von Breslau durch die Franzosen 1806–1809."
Rosen Freifrau von,11706646X,female,"□Rosen, Kathinka, Freifrau von, geb. von Fabricius, Wien.","‒ Die Kinder-Erziehung mit besonderer Rücksichtnahme auf die Charakterbildung. 8. (141) Teschen 1884, Prochaska. n 2.40 ‒ Leitfaden für Krankenpflegerinnen. 8. (175) Wien 1882, Faesy. n 2.80"
Waldhauser Anna,11712060X,female,"Waldhauser, Anna, Böhmisch-Kamnitz, dichtet im heimatlichen Dialekt.",.
Olfers Marie,11712124X,female,"*Olfers, Marie von, Ps. Maria Werner, Berlin W., Margaretenstrasse 7, Tochter der Vorigen, ist daselbst am 27. Oktober 1826 geboren, als Tochter des früheren Generaldirektors der königlichen Museen, Ignaz von Olfers. Ihre Mutter war eine Tochter des Dichters von Stägemann. Marie entwickelte frühzeitig eine lebhafte Neigung für Musik, Malerei und Poesie. Im Hause ihres Vaters verkehrte lange Iahre die Intelligenz von Berlin, es vereinigte die auserlesenste Gesellschaft, war also der fruchtbarste Boden für die Entwickelung der künstlerischen und schriftstellerischen Bestrebungen Mariens. Als Malerin und Zeichnerin erwarb sie sich durch ihre humoristischen Skizzen zu Sprichworten und durch ihre Kostümbilder in der Berliner Frauenzeitung viele Freunde. u. E. v. Olfers. Das Märchen vom alten Drachen und der treuen Lisbeth. Das Märchen vom Prinzen Pusack. Hansi und sein Nussknacker. 4. (32 Bl. mit Chromolith.) Leipzig 1883, Leipziger Lehrmittel-Anstalt von Dr. Oskar Schneider. geb. 2.50","‒ Backfische und alte Iungfern. Novellen. 8. (207) Berlin 1897, »Concordia« Deutsche Verlagsanstalt. n 3.–; geb. n 4.– ‒ Denksprüche. (12 Bl.) 1873. ‒ Deutsches Spruchbüchlein. Mit Bildern. 1873. ‒ Die Vernunftheirat u. andere Novellen. 8. (300) Berlin 1887, Hertz. n 5.–; geb. n 6.–"
