name,gnd,gender,biography,bibliography
Wolicka Stephanie,10136279X,female,"Wolicka, Stephanie. Griechische Frauengestalten. 1. Tl. 8. (77) Zürich 1875, Höhr. 1.35",.
Friedemann Albertine Martha,101873080X,female,"*Friedemann, Frau Konsul Martha Albertine, geb. Friedheim, Berlin, Potsdamerstrasse 118, ist am 18. April 1847 in Berlin als einziges Kind des Konsuls M. Friedheim geboren. Im Iahre 1870 heiratete sie den Konsul Iulius Friedemann. Ihre litterarischen Produkte sind meist lyrischer Art. Gedichte sind vielfach in illustrierten Iournalen etc. erschienen, ebenso Novellen. Nach dem Freytagschen Roman hat die Dichterin den Text zu der 1896 zuerst am Berliner Königlichen Opernhause aufgeführten Oper »Ingo« geschrieben. Verschiedene Novellen, kleine Theaterstücke und Dichtungen befinden sich noch unter Händen der Genannten.",.
Agnes Pauline Luise Agnes,101876240X,female,"Agnes, Pauline Luise Agnes, Fürstin Reuss j. L., s. Angelica Hohenstein. Band I.",.
Hohenstein Angelica,101876240X,female,"Hohenstein, Angelica, Pseudonym für Agnes Fürstin Reuss j. L., geboren den 13. Oktober 1835 zu Karlsruhe, gestorben den 10. Iuli 1886 auf Schloss Osterstein bei Gera.","‒ Aus schönen Stunden. Acht Bilder. 16. (224) Gütersloh 1878, Bertelsmann. n 2.– ‒ Der Segen der Grossmutter. (Familienbild.) 2 Bde. 1880. ‒ Helene. Erzählg. 1867."
Schlesinger-Steiner Olga,102382129X,female,"*Schlesinger-Steiner, Frau Olga, Ps. Olga Steiner, Breslau, Sonnenstrasse 12b, geboren am 6. April 1865 zu Breslau als Tochter einer Kaufmannsfamilie. Nach absolvierter Schulzeit ging sie, einer unbezwinglichen Neigung folgend, zur Bühne, blieb aber nur zwei Iahre bei diesem Fache, da ihr idealer Sinn von dem realistischen Treiben hinter den Coulissen stark angewidert wurde. Sie besuchte hierauf die Kunstschule in Breslau, beschäftigte sich nebenbei mit theatralischen Einstudierungen bei privaten und öffentlichen Festen. Dabei stellte sich, namentlich in Mädchenpensionaten, der Mangel an passenden Backfischstücken heraus, welche ohne Herrenrollen und ohne schwierige Inscenesetzung gegeben werden konnten. Von diesem Gesichtspunkte aus schuf sie die »Mädchenbühne« und darauf fussend auch Stücke für Damen, welche der Herrenrollen entbehren, Kinderstücke und Hochzeitsaufführungen vervollständigen diese dramatischen Erzeugnisse für Liebhaberbühnen und Dilettantentheater. Seit 1892 ist sie verheiratet. Werke s. Olga Steiner.",.
Hübner Emilie Henriette,102878760X,female,"Hübner, Henriette Emilie, geb. Herrmann, Ps. Henriette Steinau, geboren den 22. März 1794 in Dresden, gestorben im Dezember 1819 in Chemnitz.",.
Stein Emilie,102878760X,female,"Stein, Frl. Emilie, Ps. E. Stine, Wien I, Seilerstätte 12, ebenda am 24. Mai 1866 geboren, schreibt Übersetzungen der nordischen Sprachen.",.
Steinau Henriette,102878760X,female,"Steinau, Henriette, s. Henriette Emilie Hübner.",.
Funk Marie,102921901X,female,"Funk, Marie. Das Vermächtnis der Signora. Rom. 2 Bde. 8. (558) Berlin 1871, Ianke. 6.–",.
Giese Martha,103128916X,female,"Giese, Martha. Trostblümchen. Eine Erzählg. f. Mädchen. 8. (110) Stuttgart 1896, F. Loewe. geb. n 2.–",.
