name,gnd,gender,biography,bibliography
Lauser Lili,116756799,female,"*Lauser, Frau Lili, Berlin-Charlottenburg, Kantstrasse 32, geboren 1861 in Costa Rica, Amerika, ist die Gattin des Schriftstellers und Chefredakteurs Dr. Wilhelm Lauser. Sie ist als Übersetzerin aus dem Spanischen und Französischen schriftstellerisch thätig. »Man soll nichts verschwören« ist in Wien am K. K. Hofburgtheater aufgeführt worden. »Mariana« aus dem Spanischen wurde in Stuttgart und Karlsruhe aufgeführt und »Mathilde« wurde im Wiener Volkstheater zur Aufführung angenommen. Feuilletons und Theaterkritiken sind in verschiedenen Blättern von ihr erschienen.","‒ Crispi bei Bismarck. Aus dem Reisetagebuch eines Vertrauten des italienischen Ministerpräsidenten. Übersetzg. 8. (238) Stuttgart 1894, Deutsche Verlags-Anstalt. 3.–; geb. nn 4.– ‒ Der Dreispitz. Übersetzg. aus d. Spanischen des P. Alarcon. 4. (32) (1876) 1880, Stuttgart, Kröner. n –.50 ‒ Der Köhlerschulz. Übersetzg. aus d. Spanischen des P. Alarcon. 4. (28) (1876) Ebda. 1880. n –.50 ‒ Der Unerbittliche, Mariana, Mathilde od.: Flecken, der reinigt. Übersetzg. a. d. Spanischen des I. Echegaray. ‒ Die Illusionen des Dr. Faustino. Übersetzg. aus dem Spanischen des I. Valera. ‒ Ein guter Fischzug. Übersetzg. aus dem Spanischen des P. Alarcon. 4. (24) (1876) 1880, Stuttgart, Kröner. n –.50 ‒ Man soll nichts verschwören. Übersetzg. des Alfr. de Musset."
Hoffmann Franziska,116758899,female,"Hoffmann, Franziska. Das Orakelwesen im Altertume. 8. (225) Basel 1880, Krüsi. n 4.80","‒ Die Akustik im Theater der Griechen. 8. (32) Thun 1881, Zürich, Schröter. n 1.– ‒ Die politische Kraft d. Weibes. Histor. Skizzen. 8. (154) Basel 1881, Krüsi. n 2.40 ‒ Die Traumdeutung in den Asklepien. 8. (36) Zürich 1882, Schröter. n 1.– ‒ Über die Asklepien. 8. (18) Ebda. 1881. n –.75"
Hoffmann Julie,116758899,female,"Hoffmann, Iulie. Der schwarze Sam. 8. (128) Breslau 1855, Trewendt. –.75 1. Aus allen Zonen. (157) 2 Erzählungen e. alten Seemannes. (204) 3. Weltgegenden. (172) 4. Winter-Abende (188)","‒ Der zerbrochene Becher. 2 Aufl. 8. (164 m. 4 St.) Ebda. 1866. –.75 ‒ Der Ansiedler auf Van-Diemens-Land. Erzählg. v. C. Rowcroft. Für die Iugend. 8. (188) Ebda. 1855. geb. 3.– ‒ Die Geschwister. 2 Aufl. 8. (110) Ebda. 1866. –.75 ‒ Die letzte Wacht. 8. (130) Ebda. 1853. –.75 ‒ D. Waldläufer. Erzählgn. a. d. amer. Waldleben. 2 Bde. 6. Aufl. 8. (560 m. 12 K.) Ebda. 1868. 6.75 ‒ Ehrlich währt am längsten. Die Eisfahrt. 8. (120) Ebda. 1855. –.75 ‒ Europäische Bilder u. Skizzen. 8. (284) Ebda. 1858. geb. 3.75 ‒ Grossvaters Liebling. Marie, d. Blumenmädchen. 2. Aufl. 8. (140) Ebda. 1866. –.75 ‒ Hass u. Liebe. 2. Aufl. 8. (121) Ebda. 1864. –.75 ‒ Ich sehe Dich schon. ‒ Kapitän Tisdale. 2 Aufl. 8. (140) Breslau 1866, Trewendt. –.75 ‒ Märchenwelt. Ausw. der schönsten Märchen f. die Iugend. 3. Aufl. 8. (208 m. 4 Farbendr.) Stuttgart 1893, K. Thienemann. kart. 2.– ‒ Mythologie der Griechen u. Römer f. d. weibl. Iugend. 8. (264 m. H.) Breslau 1864, Trewendt. 3.–; kart. 3.50 ‒ Nach der Schule. 16. (92) Stuttgart 1862, Schmidt & Spring. geb. n 1.50 ‒ Neue Reisebilder. Erzählgn. f. d. reif. Iugend. 1.–4. Bd. 8. (1854) 1856, Breslau, Trewendt. Vergriffen! à 1.50 ‒ Robinson Krusoe. Für die Iugend neu bearbeitet. 7. Aufl. 8. (198 m. Illustr. u. 6 Farbendr.) Stuttgart 1893, K. Thienemann. geb. 4.50 ‒ Dasselbe. Neue Ausg. 8. (176 m. Illustr. u. 4 Farbendr.) 1895. kart. 2.– ‒ Rufe mich an in der Not, so will ich dich erretten! 8. (122) Breslau 1852, Trewendt. –.75"
Marchesi Mathilde,116760206,female,"*Marchesi, Frau Mathilde, geb. Graumann, Paris 88 Rue Iouffroy, geboren am 26. März 1826 zu Frankfurt a. M., sie war eine gefeierte Konzertsängerin und verheiratete sich 1852 mit dem Sänger und Komponisten Salvatore Marquis de Castrone. M. M. war dann in Wien, Paris, Köln, an den betreffenden Konservatorien eine sehr beliebte Lehrerin. Seit 1881 lebt sie als solche mit ihrem Gatten in Paris und zählt eine ganze Reihe bedeutender Sängerinnen zu ihren Schülerinnen. Auch als Schriftstellerin hat sich M. M. durch Herausgabe einer »Praktischen Gesangsmethode«, sowie eines autobiographischen Werkes bethätigt.","‒ Aus meinem Leben. 8. (246) Düsseldorf 1888, F. Bagel. n 5.–; geb. n 7.–"
Herzog Adelaide,116761873,female,"Herzog, Adelaide, geb. v. Gottberg. Biographie u. Werke s. Adelaide v. Gottberg-Herzog.",.
Hesekiel Ludovica,116764015,female,"Hesekiel, Ludovica, geboren den 3. Iuli 1847 in Altenburg, gestorben am 6. April 1889 in Neustadt b. Koburg.","‒ Agnes, Fürstin Reuss j. L., geb. Herzogin zu Württemberg. Ein Lebensbild. 8. (127) Leipzig 1887, Pöschel & Trepte. n 2.–; geb. n 3.– ‒ Alaaf Köln. Rom. 2 Bde. 8. (553) Berlin 1884, Ianke. n 9.– ‒ Andernach und Clairvaux. Rom. 2 Tle. in 1 Bd. 8. (461) Iena 1890, Costenoble. n 6.–; geb. n 7.20 ‒ Augusta, Kaiserin-Königin. Ein Lebensbild. Aus ihrem Nachlasse hrsg. u. ergänzt v. Wilh. Iohnsen. 8. (135 m. Bildnis) Leipzig 1890, Böhme Nachfolger. n 1.80; geb. n 2.50 ‒ Aus Dur und Moll. Erzählgn. 3 Bde. 8. (732) Berlin 1886, Ianke. n 10.– ‒ Barackenleben. Skizzen aus dem Berliner Militär-Lazaret 1870–1871. 8. (232) Ebda. 1871. 3.– ‒ Der Musterschreiber. Erzählg. 8. (255) Ebda. 1889. n 1.– ‒ Des Kaisers Gast. Vaterl. Erzählg. aus d. Kriege 1870–71. 3. Aufl. (185) Breslau 1894, M. Woywod. n –.90; kart. n 1.–; geb. n 1.50 ‒ Deutsche Träumer. Rom. 3 Bde. 8. (654) 1879 Berlin, Ianke. n 10.– ‒ Dasselbe. 2. Ausg. Ebda. 1897. 2.–; geb. 3.– ‒ Die Exulanten. 3 Erzählgn. 1. Die Vertriebene. 2. Medica. 3. Der kleine Hugenott. 8. (128) Barmen 1880, Klein. 1.– ‒ Die Frau Kriegsrätin. Erzählg. 8. (120) Berlin 1886, Ianke. n –.50 ‒ Eine brandenburgische Hofjungfer. Histor. Rom. 3 Bde. 8. (831) Ebda. 1868. n 6.– ‒ Elisabeth Luise, Gemahlin König Friedr. Wilhelm IV. Ein Lebensbild. 8. (105) Berlin 1881, Wiegandt & Grieben. n 1.75 ‒ Excellenz. Erzählg. 8. (122) Berlin 1886, Ianke. n –.50 ‒ Fromm u. Feudal. Rom. 3 Bde. 8. (710) Ebda. 1886. n 10.– ‒ »Gott mit uns.« Vaterländ. Erzählgn. 8. (304) Ebda. 1883. n 4.50 ‒ Iesus, meine Zuversicht! Aus dem Leben der Kurfürstin Luise Henriette. 3. Aufl. 12. (181) Breslau 1894, M. Woywod. n –.90; kart. n 1.–; geb. n 1.50 ‒ Lenz Schadewacht. Historischer Rom. 4 Bde. 8. (892) Berlin 1871, Ianke. 12.–"
Hesekiel Ludovica,116764015,female,"Hesekiel, Ludovica. Lottchen Lindholz. Eine Berliner Geschichte a. d. 17. Iahrh. 2 Tle. in 1 Bde. 8. (370) Berlin 1882, Ianke. n 2.–","‒ Neue Häuser. Der Steinschleifer v. Golling. Zwei histor. Erzählgn. 8. (134) Leipzig-Reudnitz 1890, Osw. Schmidt. n 1.– ‒ Nürnberger Tand. Eine Geschichte aus d. 15. Iahrh. 2 Bde. 8. (755) Iena 1888, Costenoble. n 9.– ‒ Prinz Wilhelm. Vaterländische Erzählg. aus stiller Zeit. 2. Aufl. 8. (146) Berlin 1897, Otto Ianke. n 1.– ‒ Reiche Leute. Erzählg. 8. (255) Gotha 1887, F. A. Perthes. n 3.60 ‒ Salz u. Wein. Rom. 2 Bde. 8. (314) Leipzig 1888, Böhme, n 4.–; geb. n 5.– ‒ Templer u. Iohanniter. Rom. 2 Bde. 8. (700) Iena 1887, Costenoble. n 9.– ‒ Unterm Sparrenschild. Rom. 3. Aufl. 3 Tle. in 1 Bd. 8. (353) Berlin 1893, O. Ianke. n 2.–; geb. n 3.– ‒ Von Brandenburg zu Bismarck. Rom. 2 Bde. 8. (564) Berlin 1873, Wedekind & Schwieger. n 8.– ‒ Zünftig. Rom. 3 Bde. 8. (762) Berlin 1881, Ianke. n 10.–"
Gomperz Elise,116765712,female,"Gomperz, Elise. August Comte u. der Positivismus. Wiederabdruck aus der Westminster-Review. Aus dem Engl. des Iohn Stuart Mill. 8. (141) Leipzig 1874, Fues. 2.–",.
Salm-Horstmar Elise,116766158,female,"Salm-Horstmar, Elise Prinzessin zu, geborne Prinzessin zu Hohenlohe-Schillingsfürst, Höxter, Westfalen.","‒ Lieder. 8. (102) Berlin 1897, Alexander Duncker. n 2.–"
Marées Amalie de,116768126,female,"Marées, Amalie de. Klara. Sammlg. kleiner Gedichte f. junge Mädchen. 8. (80) Braunschweig 1857, G. C. E. Meyer. n 2.–",.
