name,gnd,gender,biography,bibliography
Bruck-Auffenberg Natalie,174295448,female,"*Bruck-Auffenberg, Frau Natalie, Wien II, Hundsturmerstrasse 105, ist in Verona als einziges Kind des österreichischen Majors von Auffenberg geboren und seit 1877 mit dem Bauunternehmer Bruck verheiratet. Schon die Stilaufgaben des zehnjährigen Kindes fanden in einer österreichischen Iugendzeitung regelmässige Veröffentlichung. Sie konnte sich jedoch erst nach dem Heranwachsen ihrer Kinder zu schriftstellerischer Thätigkeit entschliessen und begann 1872 mit der Textierung zu von ihr selbst entworfenen Modezeichnungen aus dem Wiener Gesellschaftsleben, die so bemerkt wurden, dass sie in kurzer Zeit zu einer umfassenden Reporterthätigkeit über Mode und Gesellschaftsberichte, künstlerische Frauenarbeit, Ausstellungen, Damensport und dergleichen gelangte. Seit 1892 ist sie","‒ Die Frau comme il faut. (Die vollkommene Frau.) 2., 3. u. 4. Aufl. 8. (480) Wien 1896/97, Verlag d. Wiener Mode. geb. 6.–"
Bagge Elilla,181997142,female,"*Bagge, Frl. Elilla, Leipzig, Marienstrasse 10 b., geboren am 28. Okt. 1847 zu Altershausen bei Königsberg in Franken, als Tochter des Pfarrers Oskar Bagge, der als gelehrter Theologe, theologischer Schriftsteller und Verfasser trefflicher Volksschriften einen grossen Ruf genoss, bildete sich zur Erzieherin aus, als welche sie in Deutschland, der französischen Schweiz, und in England thätig war und wirkte später als Sprachlehrerin und Schriftstellerin. Als solche lebt sie Ietzt in Leipzig und arbeitet auf dem Gebiete des Feuilletons und der Übersetzungen.","‒ Das Kleeblatt. Leipzig 1898, G. Wigand. (In Vorbereitung.) ‒ Der arme Marcel. Preisgekrönte Nov. Üb. des Werkes v. T. Combe. Aus dem Franz. 16. (174) Leipzig 1888, Ph. Reclam jr. n –.40 ‒ Die Schwestern Verdan. Üb. des Werkes v. T. Combe. 8. (142) Stuttgart 1893,. Deutsche Verlags-Anstalt. 1.–, geb. 1.50 ‒ Donovan. Lebensgeschichte eines Engländers aas unseren Tagen. Üb. des Werkes v. Edna Lyall. Aus dem Engl. 4. Aufl. 8. (472) Leipzig 1894, G. Wigand. 5.–, geb. 6.– ‒ Electric-Electrac. Üb. des Werkes v. T. Combe. Aus dem Franz. 16. (109) Leipzig 1889, Ph. Reclam jr. n –.20"
Bagge Elilla,181997142,female,"Bagge, Frl. Elilla. Gute Nachbarn. Übers. des Werkes v. T. Combe. 8. (180) (1886), 1889, Hamburg, Agentur des Rauhen Hauses. n 1.20, geb. 1.80","‒ Luc Aufrancs Weg zum Glücke. Erzählg. a. d. Iura. Aus d. Franz. 8. (248) Ebda. 1886. n 2.50, geb. n 3.50 ‒ Monsieur Vélo. Herkules Geheimnis. Doktor Iob. Drei Nov. a. d. Iura. Üb. des Werkes v. T. Combe. Aus d. Franz. 8. (200) Wolfenbüttel 1887, Zwissler. n 2.–, geb. 3.– ‒ Raeburns Tochter. (We two) Üb. des Werkes v. Edna Lyall. Aus dem Engl. 2. Aufl. 8. (405) Leipzig 1896, G. Wigand. 5.–, geb. 6.–"
Trinks Thekla,189437685,female,"*Trinks, Thekla, Braunschweig, Hagenring 4, geboren am 4. August 1831 zu Meiningen, gab zwei Bücher heraus, welche bestimmt sind,","‒ Die Evangeligeschichte nach Lukas u. die evangelische Geschichte nach Matthäus u. Iohannes, Berlin 1884/86, Prochnow. ‒ Lebensführung einer deutschen Lehrerin. 2. Ausg. 8. (269) Eisenach 1898, M. Wilckens. geb. 2.50"
Heuser Emilie,189477229,female,"Heuser, Emilie. Gründliche Anleitung zur Kunst d. Namensstickens f. Lehrerinnen u. zum Selbstunterricht. I. Heft Einfache Buchstaben. 4. (7 m. 10 L.) Elberfeld 1878, Fassbender. II. Heft Verzierte Buchstaben (7 m. 10 L) 1880. à n 1.–",.
Frauberger Tina,189508612,female,"*Frauberger, Frau Tina, Düsseldorf, Gneisenaustrasse 13, ist am 4. November 1861 zu Mainz geboren, mit dem Schriftsteller und Direktor des Central-Gewerbe-Vereins in Düsseldorf, Heinrich Frauberger vermählt. Sie ist Vorsteherin der Kunststickereischule ihres Wohnortes.","‒ Handbuch der Spitzenkunde. Technisches u. Geschichtliches üb. d. Näh-, Klöppelu. Maschinenspitzen. 8. (272 m. Abbildg) Leipzig 1894, E. A. Seemann. 480; geb. 5.60"
Plange Henriette,189529814,female,"Plange, Henriette. Gedichte. 16. (96) Lippstadt 1851, Rempel. 1.–",.
Recke-Volmerstein Mathilde,189538996,female,"Recke-Volmerstein, Gräfin Mathilde von, geb. Gräfin von Pfeil und Klein-Ellguth, Dame des Louisenordens.","‒ Erinnerungen aus ihrem Leben. 8. (282) Breslau 1873, Dülfer. n 3.–; geb. n 4.– ‒ Dasselbe. 2. Aufl. (287) 1874. n 3.30; geb. n 4.20"
Grave Agnes le,189552824,female,"Grave, Agnes le, s. Ieannette Holthausen.","‒ Dichtungen. 16. (153) Berlin 1859, F. Duncker. n 2.50 ‒ Dasselbe. Zweite Sammlg. 1867. ‒ Dido. Trauersp. 1874. ‒ Erzählende Dichtungen. 3. Sammlg. 16. (182) Berlin 1867, Mittler & Sohn. n 2.25; geb. n 3.– ‒ Fabelbuch. Ein frisches Feststräusschen f. liebe Kinder. 2. Aufl. 4. (43 m. H. n. 7 Chromolith.) (1876) 1878, Esslingen, Schreiber. n 2.– ‒ Frau Lee. Rom. 8. (470) Berlin 1869, Habel. 5.50 ‒ 50 Originalfabeln. 1876. 2. Aufl. unter dem Titel Fabelbuch 1868. ‒ Mein Lieblingsbuch. Elf Erzählgn. f. wohlerzogene Kinder. 4. (76 m. 6 Chromol.) Leipzig 1882, Albrecht. geb. n 4.–"
Le Grave Agnes,189552824,female,"Le Grave, Agnes, s. Ieannette Holthausen.","‒ Dichtungen. 16. (153) Berlin 1859, F. Duncker. n 2.50 ‒ Erzähl. Dichtungen. 3 Sammlgn. 16. (182) Berlin 1867, Mittler & Sohn. n 2.25; geb. 3.– ‒ Fabelbuch. Ein frisches Feststräusschen. 2. Aufl. 4. (43 m. H. u. 7 Chromol.) Esslingen 1878, Schreiber. n 2.– ‒ Frau Lee. Rom. 8. (470) Berlin 1869, Habel. 5.50 ‒ Mein Lieblingsbuch. 8. (120 m. farb. Bildern.) Fürth 1894, G. Löwensohn. kart. 1.–"
Nütten Anna,189557354,female,"*Nütten, Frau Anna, geb. Startz, Cleve, Rheinprovinz, Villa Elsa. Einer alten Patrizierfamilie entstammend, wurde sie daselbst am 9. November 1861 geboren, als dritte Tochter des Kommerzienrats Konrad Startz. Mit elf Iahren verlor sie ihre Mutter und wurde nun in einer höheren Töchterschule in Köln, dann in einem Pensionat in Brüssel, ferner in einem Pensionate in England erzogen. Im Iahre 1882 heiratete sie Charles Nutten, Hauptmann in Düsseldorf, zur Zeit Oberst a. D. in Cleve und ist nunmehr Mutter dreier Kinder. Im Iahre 1889 erschien ein Band Gedichte, »Feierstunden«. Derselbe enthält nur Originalwerke nebst einigen Übersetzungen englischer Gedichte und in Verse übertragene Psalmen. In Vorbereitung zur Herausgabe sind Märchen. Als Mitarbeiterin der sozialen Zeitschrift, des »Volksvereins für das katholische Deutschland«, liefert sie Beiträge in Form sozialer Erzählungen.","‒ Feierstunden. 12. (180) Aachen 1893, R. Barth. geh. m. Goldschn. 4.50"
Kleeberg Minna,189558903,female,"Kleeberg, Minna, geb. Cohen, geboren am 21. Iuli 1841 zu Elmshorn, in Holstein, gestorben am 31. Dezember 1878 in New-Haven.","‒ Gedichte. 16. (160) New-York 1877, Leipzig, Brockhaus' Sortiment. geb. m. Goldschn. n 5.–"
Graf Antonie,1011175568,female,"*Graf, Frau Antonie, Ps. A. S. Machold, Wien II, Praterstrasse 28, geboren in Wien am 20. April 1845 als Tochter des bereits verstorbenen Arztes Dr. Ioseph Machold. Sie genoss ihre Erziehung im Ursulinerinnenkloster daselbst, wo sie sich zur öffentlichen Lehrerin heranbildete und später bis 1870 eine ihr gehörige Mädchenschule leitete. Ein glückliches Eheleben und manche litterarischen Beziehungen ihres Gatten, des Kaufmann Moritz Graf, boten ihr Gelegenheit, ihre geistige Kraft auf schriftstellerischem Gebiete zu bethätigen. Waren es anfänglich Fragen des Hauswesens, der gesellschaftlichen Zustände und Sitten, welche sie unter dem Pseudonym A. S. Machold in der Wiener Hausfrauen-Zeitung besprach, so trieb sie gar bald ein heisser Drang auf das litterarische Gebiet, und ihre Skizzen, Essays und Buchkritiken erschienen von da an regelmässig in der »Wiener Litteratur-Zeitung«. Ein Aufsatz »Rosmersholm« machte ungewöhnliches Aufsehen durch die eigenartige Auffassung der handelnden Personen. Die mächtige soziale Bewegung unserer Zeit erfasste auch sie. Sie ist Mitgründerin des »Ferienheim« in Wien, ein Verein, welcher sich durch seine musterhafte Organisation auszeichnet. Frau Graf hat sogar ihre schriftstellerischen Neigungen unterdrückt, um ganz dieser Schöpfung zu leben. Zu Gunsten dieser ihrer Lieblingsschöpfung ergriff sie in den letzten Iahren die Feder, um der Gesellschaft eindringlich ihre Pflichten gegen die hilfsbedürftigen Mitmenschen darzulegen. Auch jenen Sportzweigen bringt sie ein lebhaftes Interesse entgegen, welche auf die Kräftigung und gesunde Entwickelung des Körpers abzielen. Sie ist Präsidentin des Wiener Damenschwimmklubs »Austria«. Frau Antonie Graf beabsichtigt, ihre gesammelten Schriften in Buchform erscheinen zu lassen.",.
Kallmann Emma,1011265028,female,"*Kallmann, Frau Emma, geb. Maas, Berlin W., Ansbacherstrasse 3, wurde 1848 zu Berlin als viertes von acht Kindern einer angesehenen Familie geboren. Sie bekam eine den damaligen Verhältnissen entsprechende gute Erziehung und besuchte die höhere Töchterschule von Wetzel. Schon als Schülerin hat sie deutsche Gedichte geschrieben und englische sowie französische Gedichte ins Deutsche übertragen. Mit besonderer Vorliebe pflegte sie das Wortspiel. Den meisten Beifall fanden bei den verschiedenen Iournalen ihre humoristischen Aufsätze. Iedoch erst als ältere Frau, der Not gehorchend, trat Frau Kallmann im Iahre 1883 schriftstellerisch in die Öffentlichkeit. Ihre ersten kleinen Sinngedichte sind im Auerbachschen Liederkalender erschienen, dessen ständige Mitarbeiterin sie seitdem blieb. Ihre Märchen, meist humoristischer Natur, sind in verschiedenen Zeitschriften zum","‒ Damen-Korrespondenz. Neuer Briefsteller f. Damen n. Mädchen. 8. (194) Berlin 1896, H. Steinitz. n 2.– ‒ Der gute Ton. Handbuch d. feinen Lebensart u. guten Sitte. Nach den neuen Anstandsregeln bearb. 6. bis 8. Taus. 8. (285) Ebda. 1896. n 2.–; geb. nn 3.– ‒ Neuer Polterabend-Dichter. 7. Aufl. 8. (200) Ebda. 1894. n 1.– ‒ Neuer Tafel-Redner. Orig.-Toaste u. Tischreden. 3. Aufl. 8. (265) Ebda. 1896. n 2.–"
Grey-Stipek Valerie,1011385902,female,"Grey-Stipek, Frau Valerie, Wien.","‒ Paula. Rom. 8. (182) Leipzig 1894, Litterarische Anstalt, A. Schulze. n 2.–"
George Anna,1011435934,female,"George, Anna. Herbstblätter. Nov. 8. (160) Dresden 1893, E. Pierson. 2.–",.
Forstenheim Anna,1011872315,female,"Forstenheim, Anna, geb. Goldmann, verehelichte Hirschler, geboren den 21. September 1847 zu Agram, gestorben am 9. Oktober 1889 in Vöslau bei Wien. u. M. V. Schwind. Dasselbe. Ein Cyklus v. 11 Bildern. Neue Lichtdr.-Ausg. Fol. Mit Text v. A F. 16. (78) Ebda. 1882. in Mappe n 6.–","‒ Caterina Cornaro. Histor. Drama. 8. (84) Wien 1875, Wallishausser. n 2.40 ‒ Der Wauwau. Lustsp. (72) Wien 1881, Selbstverlag. ‒ Der Zauberring des Herzens. Rom, in 3 Bdn. 8. (976) Leipzig 1889, Friedrich. n 12.– ‒ Die schöne Melusine. Märchen in 12 Gesängen. (Zu M. v. Schwinds Aquarellen-Cyklus.) 16. (78) Stuttgart 1881, Neff. n 2.–; geb. 3.– ‒ Dasselbe 2. Aufl. 1882, 1883. n 1.–; geb. n 1.50 ‒ Ein neues Fürstentum in alter Zeit. 1882. ‒ Manoli. Rumän. Volkssage, erzählt. 12. (102) Wien 1883, Konegen. n 2.–; geb. n 3.–; ‒ Prinz Tantalus. Erzählg. 8. (360) Berlin 1882, Ianke. 4.50"
Hirschler Anna,1011872315,female,"Hirschler, Anna (Anna Forstenheim), geboren den 21. September 1846 in Agram, gestorben zu Vöslau am 9. Oktober 1889. Werke s. Anna Forstenheim.",.
Hoffmann Nina,1011894475,female,"□Hoffmann, Nina, Ps. Norbert Hoffmann, Wien IV, Theresianumgasse 6.",.
Bauer Marie,1012175197,female,"Bauer, Marie. Eine arme Seele. 8. (428) Frankfurt a. M. 1891. Alt. n 5.–, geb. n 6.–",.
Bauer Marie,1012175197,female,"Bauer, Marie. Buon Retiro. Um meinetwillen. Die Freunde. 3 Erzählgn. Leipzig 1895, E. Keils Nachfolger. 4.50 Siehe auch Band I.",‒ Die Perle. Rom. Ebda. 1895. 4.50
Sonntag Hans,1012363929,female,"Sonntag, Hans, Biographie s. Clara Ioh. Förstner.",.
Schmutz Christine,1012397610,female,"Schmutz, Christine. Samenkörner der Wahrheit, ausgestreut f. wahrheitslieb. Herzen. 8. (328) Eberbach (Mosbach, Kindler.). n 1.80",.
Anna Tante,1012535169,female,"Anna, Tante, s. Anna Aug. Henr. Claussen. Nachtrag. Werke s. auch A. Claussen. Band I. u. Onkel Arthur. Der Struwwelpeter. Weihnachtsmärchen in 7 Bildn. Bearb. unter ausdrückl. Genehmigg. d. Struwwelpeterverl. Rütten & Loening in Frankfurt a. M. 12. (112) Stettin 1897, Berlin, Keimling & Grünberg. –.50",.
