name,gnd,gender,biography,bibliography
Bufalo della Valle,116058021,female,"Bufalo della Valle, Emilia Marchesa. Biographie u. weitere Werke s. Band I.",‒ Die Deutschen u. Engländer im Mond. Lustsp. (122)
Bufalo della Valle Emilia,116058021,female,"*Bufalo della Valle, Emilia Marchesa, Ps. Moderatus Diplomaticus, Rom, Via Ancona 7, geboren 11. März 1828 in Hamburg als die Tochter des Kaufmanns und württembergischen Konsuls Schmidt. Sie machte Gedichte schon in der Kindheit, in Hamburg lebend und seit bei einem Aufenthalte in Wien ihr erstes Buch, das sie zu Geschenken bestimmte, 1859 erschien, vermehrte sich noch ihre schriftstellerische Thätigkeit in Deutsch, Italienisch, Französich und Englisch. Sie ist seit 1859 schriftstellerisch thätig. Sie vermählte sich 1858 mit dem römischen Nobile Marchese Andrea del Bufalo della Valle, lebte zuerst in Rom, und seitdem sie verwitwet ist, wohnt sie stets dort.","‒ Conradin v. Hohenstaufen. Drama. 8. (102) (1872) 1891, Wien, Gerolds Sohn. 1. Aufl. Vergriffen! n 2.– ‒ Der Olymp zur jetzigen Zeit. 16. (63) Ebda. 1876. n 1.– ‒ Deutsch-französischer Krieg. Patriotisches Liederspiel. 1871. ‒ Ein Abenteuer auf Schloss Ludlow. Drama. 8. (46 m. 1 Bild.) Rom. 1892, Leipzig, E. Claussner. n 2.– ‒ Ein poetisches Geschenk. 1858. ‒ Episoden aus der Schlacht bei Sadowa. Historische Geschichte. 1867. ‒ Wahrheit und Phantasie. 1893."
Karsten Wilhelmine Paula Franziska,116061308,female,"*Karsten, Frl. Paula Franziska Wilhelmine, Berlin, Genthinerstrasse 14, ward am 8. März 1850 zu Pasewalk geboren. Sie gehörte zu den Kindern, die »eigenartig« genannt werden. Von frühester Kindheit an interessierte sie alles aufs lebhafteste, was Sprachen und Litteratur betraf. Als zehnjähriges Kind ward sie in der Schule mehrmals bestraft, weil die Lehrerin behauptete, sie liesse sich ihre Aufsätze von einem Erwachsenen schreiben, es sei nicht möglich, dass sie dieselben verfasst habe. In dieser Zeit kamen öfter Gedichte und",‒ Geschichten u. Lieder der Birmanen. ‒ Geschichten u. Lieder der Asiaten. 8. Herausgegeben von A. Seidel. In Vorbereitung.
Dorn Clara,116062568,female,"□Dorn, Clara, Ps. einer Dichterin, die ihre Verhüllung noch nicht lüften will. Sie soll Tochter eines hannoverschen Predigers sein und als Lehrerin in Hildesheim gewirkt haben.","‒ Gedichte. 8. (180) Dresden 1894, E. Pierson, n 2.50; geb. m. Goldschn. n 3.50"
Dorn Clara,116062568,female,"Dorn, Clara, Ps. für Frl. Agnes Timme, s. diese Band II. Werke s. Cl. Dorn Band I.",.
Friedländer Regina,116062827,female,"Friedländer, Regina, Mutter der Helene Friedländer (s. diese), geboren am 31. Mai 1840 in Wien, gestorben am 15. Februar 1894 in Amstetten. Werke s. Band I.",.
Embden-Heine Marie,116063955,female,"Embden-Heine, Marie, (Prinzipessa della Rocca). Tochter des Börsenmaklers Embden in Hamburg, zuerst mit dem holländischen Kaufmann de Voss vermählt, nach dessen Tode Gesellschafterin der Herzogin von Southerland, dann Gattin des Prinzen della Rocca,",.
Kastner-Michalitschke Else,116066350,female,"*Kastner-Michalitschke, Frau Else, Wien XVIII 1, geboren am 28. April 1866 zu Rokitnitz im Adlergebirge, ist sie die Tochter des Rentmeisters Anton Michalitschke. Sie zeigte frühzeitig reiche Begabung. Zur Erzieherin ausgebildet, ertrug sie für die Dauer nicht den aufreibenden Beruf. 1889 vermählte sie sich mit ihrem Iugendfreund Ed. Fedor Kastner, Herausgeber von »Böhmens deutsche Poesie und Kunst«, der sich als Lyriker und Litteraturgeschichtler seiner engeren Heimat, Böhmen, einen verdienstvollen Namen machte. Die Erfüllung der häuslichen und Mutterpflichten gestattete ihr nur selten ihren litterarischen Neigungen nachzugeben. Sie schrieb Novellen und Gedichte. Ein Lied »Weckruf einer deutschen Frau« ist von dem Domkapellmeister I. Iungmann in Musik gesetzt worden. Von der Monographie: »Der Sternkreuzorden« ist die 4. Auflage bereits vergriffen.","‒ Cypressen. 1895. ‒ Der Sternkreuzorden. Eine Monographie. 1896. ‒ Ein stilles Drama. ‒ Ernste Weisen. Gedichte. 12. (32) Wien 1894, Leipzig, Litterarische Anstalt, A. Schulze. –.80; auf Büttenpapier 1.20 ‒ Immortellen. Gedichte. 8. (14) Ebda. 1892. n –.50 ‒ Mädchenfreundschaft. ‒ Schöne Hände. ‒ Zur rechten Zeit. ‒ Zu spät."
Kastner-Michalitschke Else,116066350,female,"Kastner-Michalitschke, Frau Else, Ps. E. Waldtraut, Wien XVIII/I, Hainzingergasse 4. Die Novellen: »Ein stilles Drama, Mädchenfreundschaft, Schöne Hände, Zur rechten Zeit und Zu spät«, erschienen in verschiedenen Zeitschriften. S. auch Band I.",.
Katscher Berta,116067217,female,"*Katscher, Frau Berta, Ps. Ludwig Ungar, Albert Kellner, Ludwig Koelle und Ludmilla Koelle, Budapest I, Retekgasse 48, ist am 12. Iuni 1860 in Trencsin, Oberungarn, geboren. Schon als Kind vermochte nichts ihren Geist so anzuregen wie Märchen. und Edward Iohn Hardy. Die Kunst, Mensch zu sein. Herzensworte u. Lebensweisheit. 8. (146) Leipzig 1887, Wartigs Verlag. n 2.50; geb. n 3.50","‒ Aus Bädern u. Sommerfrischen. 16 (ca. 64) Leipzig 1890, Verlag der Zehnpfennig-Bibliothek. –.10 ‒ Aus jungen Tagen. Humorist. Erzählgn. 16. (ca. 64) Ebda. 1890. à –.10 ‒ Hermann Vámbérys Leben und Reiseabenteuer. Der Iugend erzählt 12. (138 m. Illustr.) Teschen 1892, K. Prochaska. kart. n 1.60 ‒ Soldatenkinder. Erzählg. f. d. reifere Iugend. 8. (112 m. 3 Bildern) Stuttgart 1897, Süddeutsches Verlags-Institut. geb. n 2.– ‒ Weihnachtsgeschichten. 16. (ca. 64) Leipzig 1890, Verlag der Zehnpfennig-Bibliothek. –.10"
