name,gnd,gender,biography,bibliography
Fürth Henriette,119372622,female,"□Fürth, Henriette, Frankfurt a. Main, Baumweg 37.","‒ Das Ziehkinderwesen in Frankfurt a. M. u. Umgebung. 8. (23) Frankfurt a. M. 1898, Mahlau & Waldschmidt –.40"
Assing Ludmilla,119376377,female,"Assing, Ludmilla. Aus Rahels Herzensleben. Briefe u. Tagebuchblätter 8. (256) Leipzig 1877 Brockhaus n 4.50, geb. n 5.50","‒ Fürst Hermann v. Pückler-Muskau. Eine Biographie. 8. (544) Hamburg 1872. Hoffmann & Campe. n 4.50 ‒ Gräfin Elisa v. Ahlefeld, die Gattin Adolphs v. Lützow, die Freundin Karl Immermanns. 8. (351) Berlin 1857, F. Duncker. n 1.20 ‒ Pierro Cironi. 8. (332) Leipzig 1867, Matthes. n 4.50 ‒ Sophie v. La Roche, die Freundin Wielands. 8. (384) Berlin 1859, Ianke. 4.50"
Assing Ludmilla,119376377,female,"Assing, Ludmilla, verehelichte Grimelli, geboren 22. Februar 1827 in Hamburg, gestorben 25. März 1880 im Manicomio di S. Bonifacio bei Florenz. Werke s. Band I.",.
Henze Eleonore,119387727,female,"Henze, Eleonore. Katechismus d. Kochkunst. 8. (135) Leipzig 1853, Weber. 1.– u. Adf. Henze. Damen-Bibliothek. 1. u. 2. Bdchen. 8. Leipzig 1855, Goetze. Inh.: Das Orakel. (79) Das Buch d. Gesellschaftssp. (80) (Vergriffen). –.75",.
Kunz Therese,119405822,female,"Kunz, Therese (Therese Niese). Kochbuch für die feine u. bürgerl. Küche. 3. Aufl. 8. (472) Leipzig 1889, Streller. geb. n 4.–",.
Preuschen-Telmann Hermione,119420015,female,"Preuschen-Telmann, Frau Baronin Hermione von, Rom, Via Gregoriana 5, im Sommer Höckendorf bei Stettin, geboren den 7. August 1857 zu Darmstadt als Tochter des Geheimrats Freiherrn von Preuschen, kam sie mit 19 Iahren in das Haus des Dichters Gustav zu Puttlitz nach Karlsruhe, wo sie viele litterarische Anregungen hatte und in der Karlsruher Malerakademie die Schülerin des nachmaligen »Apotheosen Keller« wurde. Sie studierte dann in Rom, Paris, München und Berlin, hier arbeitete sie längere Zeit mit der damaligen Kronprinzessin, jetzigen Kaiserin Friedrich. 1882 vermählte sie sich mit dem Arzte Dr. Oswald Schmidt, welche Ehe jedoch bald wieder gelöst wurde. Neuerdings hielt sie sich zu Studienzwecken in Paris, Italien, Spanien, Holland und England auf. 1891 vermählte sie sich neuerdings mit dem genialen Dichter Konrad Telmann, der 1897 gestorben ist. H. von P. hat sich auch als Malerin einen bedeutenden Ruf erworben. Zu ihren bedeutendsten Werken gehören »Evoë Bacche«, »Lager der Kleopatra«, neun panneaux »Aus den Pariser halles centrales«, elf panneaux »Aus dem modernen Venedig«, »Tizians Geliebte auf der Totengondel«. Bedeutendes Aufsehen erregte ihr »Mors imperator«, und »Die Lebenssphinx«. Als Schriftstellerin machte sie sich durch Novellen, Gedichte und Essays bemerkbar, die in verschiedenen Zeitschriften veröffentlicht wurden. u. K. Telmann. Ninfa. 3 Nov. 8. (215) Dresden 1895, C. Reissner. 3.–; geb. 4.–","‒ Noch einmal Mors imperator. Ein Requiem für Konrad Telmann. Ebda. 1897. kart. 1.50 ‒ Regina Vitae. Gedichte. 8. (75) Berlin 1883, F. & P. Lehmann. n 1.– ‒ Tollkraut. Novelletten. 8. (246) Leipzig 1893, C. Reissner. 3.–; kart. 4.– ‒ Via Passionis. Lebenslieder. 8. (172 m. Bildnis u. Fksm.) Dresden 1895, Ebda. 3.– ‒ Vom Mondberg. Gedichte. Erfurt, Ed. Moos."
Telmann Hermine,119420015,female,"Telmann, Hermine, Biographie und Werke s. Hermione von Preuschen.",.
Reinbold Adelheid,119420147,female,"Reinbold, Adelheid, Ps. Franz Berthold, geboren um das Iahr 1802 in Hannover, gestorben den 14. Februar 1839 in Dresden.",‒ Gesammelte Novellen. Hrsg. v. L. Tieck. 2 Bde. 1842. ‒ König Sebastian. Rom. Hrsg. v. L. Tieck. 2 Bde. 1839.
Heerwart Eleonore,119425270,female,"*Heerwart, Frl. Eleonore, Eisenach, Wörthstrasse 25a, ist am 24. Februar 1835 zu Eisenach geboren; ihr Vater, Gerichtsdirektor und Hofadvokat, starb, als sie erst 4 Iahre alt war. Eleonore besuchte die Töchterschule, nahm dann noch Unterricht in Kulturund Litteraturgeschichte, im Französischen, Zeichnen und Klavierspielen. An der Seite ihrer Mutter, die sie beim Lernen anregte und durch Erzählen geschichtlicher Stoffe, durch französische Konversation den Gesichtsund Gedankenkreis erweiterte, verlebte Eleonore nach ihrer Konfirmation noch zwei frohe Iahre, die mit dem Tod der Mutter ein frühes Ende erreichten. Der Haushalt wurde aufgelöst und Eleonore kam zu Verwandten, bei denen sie im Haushalt und bei der Erziehung kleiner Kinder thätig sein sollte. Ihren Bitten beim Vormund gelang es endlich, nach Keilhau 1/ 2 Iahre blieb und dann nach Dublin ging. Das feuchte Klima Irlands hatte ihre Gesundheit geschwächt, so dass sie nach 12jähriger angestrengter, aber erfolgreicher Arbeit an ihrer grossen Schule nach Deutschland zurückkehren wollte. Indes wurden ihr in London mehrere Anerbietungen gemacht, von denen sie die von der British and Foreign School Society annahm und am Lehrerinnen-Seminar zu Stockwell angestellt wurde, die Fröbelsche Methode daselbst einzuführen. In Verbindung mit diesem Seminar wurde nebenan eins zur Ausbildung von Kindergärtnerinnen für sie gegründet, dem sie bis zum Iahre 1883 vorstand. Abermals musste sie gesundheitshalber ihre Thätigkeit aufgeben, und diesmal kehrte sie nach Deutschland zurück, nach 22jährigem Aufenthalt in Grossbritannien. Es war ein schwerer Abschied, bei dem ihr in ehrenvollster Weise Anerkennung für ihre pädagogische Thätigkeit gezollt wurde; aber auch von Deutschland aus hat sie England immer wieder besucht und zwar um die Prüfungen von Kindergärtnerinnen für die Fröbel-Society und von Volksschullehrerinnen in Fröbelscher Methode zu leiten. In Thüringen war sie erst bei Verwandten in Weimar, dann 4 Iahre in Blankenburg und seit 1889 nahm sie ihren dauernden Aufenthalt in ihrer Vaterstadt. Die schriftstellerische Thätigkeit begann schon 1860, seit welcher Zeit sie viele Artikel namentlich in Kindergartenzeitschriften, dann in und für England mehrere pädagogische Bücher schrieb; in jedem Iahr erschien etwas Neues und der Erfolg des ersten Liederbuches, mehr als 20 Auflagen, veranlasste sie, 2 neue Liederbücher herauszugeben, die nur ihre eigene Dichtungen enthalten. Im Iahre 1892 gründete sie den Allgemeinen Kindergärtnerinnen-Verein, dessen Vorsitzende sie noch ist und für den sie 1/ 4jährliche Berichte herausgiebt. Ausserdem gehört E. H. als thätiges Mitglied zu mehreren Vereinen und ist Ehrenmitglied von verschiedenen Vereinen, z.B. vom Deutschen Fröbelverband Berlin, vom Freien Deutschen Hochstift in Frankfurt a. M. u.m.a. Ausser den hier angeführten Werken erschienen in englischer Sprache:","‒ Anwendung der vier Grundsätze Friedrich Fröbels auf die Erziehung in der Familie, im Kindergarten, in der Bewahranstalt u. in der Schule, sowie im täglichen Leben. 8. (62) Eisenach, H. Kahle. Erm. Pr. geb. n –.75 ‒ Der Zweck u. das Ziel der Fröbelschen Gaben u. Beschäftigungen, m. e. erläut. Tabelle. 8. (15) Ebda. 1893. Erm. Pr. geb. n –.50 ‒ Festbericht zum 50 jähr. Iubiläum des Kindergartens in Eisenach. Ebda. 1897. n –.80 ‒ Music for the Kindergarten. 8. (77) London 1876, Boosey & Co. geb. 2.60 ‒ The same in Tonic-sol-fo. (60) 1884. 1.– ‒ Supplement I, containing 24 original Songs. (64) 1885. geb. 1.– ‒ Supplement II, containing 25 original Songs. (64) 1896. geb. 1.– ‒ Froebel's Theory and practice. 8. (112 u. 33 Taf. Illustr.) London 1897, Charles & Dible. geb. 6– ‒ Course of Paper-Folding. 8. (20 u. 33 Taf.) Ebda. 1896. geb. 2.60"
Heerwart Eleonore,119425270,female,"Heerwart, Eleonore. Mat-Weaving or Paper-Plaiting. 8. (24 u. 30 Taf.) Ebda. 1895. geb. 2–","‒ Paper-Cutting. 8. (8 u. 10 Taf.) 1888. geb. 1.60 ‒ Easy course of Drawing. Six parts, with over 2000 designs. 6 Hefte. 8. 1878. Neue Aufl. 1885. geb. à –.60 ‒ Painting for Children. 8. (12 Taf.) London 1876, Meyers & Co. Key Book for Teachers 1.–; Exercise Book for Children –.60 ‒ The Iointed Lath. Translated from the German of Fr. Seidel. (4 u. 8 Taf.) Ebda. 1876. 1.– ‒ Ring Laying. Adapted from the German of Luise Froebel. 8. (12 Taf.) Ebda. 1876 1.– ‒ Systematic Order of Froebel's Kindergarten Occupations, based on Froebel's chapter on the same subject. 5. Aufl. 8. (16) Ebda. 1896. –.60 ‒ The transition Class; or, What may we Expect of Children after they leave the Kindergarten? 8. (12) 1878. –.30 ‒ Lecture to elementary School Teachers. 8. (32) 1883. –.60 ‒ Froebel's Four Principles of Education. (62) 1893. geb. –.90 ‒ Aim and Object of Froebels Gifts and Oocupations. (16) 1893. geb. –.60 ‒ Song for Chorus and Solo, adapted by the Annual Meeting of the German International Kindergarten Association (1897): – »Come, Let us Live for our Children.« Music by Alwine Middendorff. (1851.) –.60 ‒ Quarterly Report of the International Kindergarten Association sent gratis to members; extra copies. (1892) 1897. –.40"
